;QE;QF;QM;QMSH;QS;EF;EM;EMSH;ES;FM;FMSH;FS;MMSH;MS;MSHS
CC1-5;1257;1883;1781;1239;1509;2049;1798;1067;1304;283;952;766;692;498;267
CC1-7;958;1429;1861;1220;1589;1231;1724;1093;1220;497;250;284;735;581;387
CC1-1;520;1300;1393;958;1160;1106;1327;719;783;366;384;489;643;844;323
CC1-2;2124;632;973;597;1443;1775;1780;1626;1090;470;212;873;671;1024;849
CC1-3;1626;1679;1883;1245;1737;2151;2225;1603;1595;220;556;724;685;677;561
CC1-8;1037;1341;1456;1201;1768;1474;1478;1511;1731;184;255;409;417;301;617
CC2-2;1544;1528;1612;1218;1836;1843;2191;1303;1672;422;546;556;908;933;648
CC2-3;1576;1624;1526;1613;1855;1314;1430;1117;1155;197;207;373;380;577;256
CC2-4;1836;1600;1434;1524;1830;1430;1509;1079;1111;221;342;468;457;464;315
CC2-5;1520;1245;1320;965;1717;1528;1647;1241;1331;121;344;663;463;687;768
CC2-6;1166;903;1381;1127;1685;903;1198;435;849;249;471;679;773;811;576
CC2-8;1224;1337;1421;1242;1405;1601;1675;1467;1382;80;130;342;208;361;278
CC3-1;1774;1455;1205;1368;1841;1309;1417;1067;1198;304;245;483;403;765;474
CC3-7;1706;1264;1272;1191;1959;1200;1367;979;1159;170;231;788;396;823;777
CC3-8;1414;1218;1132;1119;1580;1863;1969;1641;1892;229;223;452;409;677;453
CC3-9;1769;1304;1281;1092;1659;1870;2028;1376;1535;207;500;637;660;854;586
CC3-10;2383;1751;1651;1664;2075;1100;1215;904;831;126;430;440;430;437;434
CC3-11;2119;1447;1432;1423;1571;1942;2133;1723;1750;217;214;265;417;476;156
CC3-4;1651;1259;1199;1067;1474;1557;1680;1440;1321;149;206;391;251;539;440
CC3-5;1702;1217;1144;1142;1632;1543;1651;1264;1384;139;311;528;400;657;495
CC3-12;1562;1295;1357;1188;1624;1701;1791;1552;1577;99;181;444;280;482;450
CC3- 13;1694;1500;1701;1303;1872;2264;2447;2033;2037;211;251;700;451;718;689
CC3- 15;1814;1635;1591;1526;1684;1921;1982;1745;1669;107;182;317;231;233;234
CC3-16;1926;1244;1095;1224;1761;1744;1423;1412;1945;184;297;534;462;663;668
GOOGLE;1427;1419;1409;1311;1574;1555;1693;1433;1387;168;146;347;264;511;331
